Catharine,Sammars,06.02.2003,2
Goran,Vermer,10.09.2000,2
Ramona,Dearan,02.10.2000,1
Malina,Catteroll,03.08.2001,1
Rafael,Pitsall,01.12.2004,1
Alva,Royall,19.07.2004,2
Clive,Thomerson,22.04.2001,2
Nessie,Chinnock,29.04.2003,1
Price,Topping,03.08.2001,2
Hendrik,Bowbrick,16.05.2003,1
Nicky,Bevans,26.02.2002,2
Violette,Comazzo,02.05.2002,1
Tarrance,Tangye,27.08.2003,1
Estel,Cammidge,25.01.2004,1
Andras,Bryden,09.03.2005,1
Gabi,Snoddon,24.03.2002,1
Irvin,Rockhall,14.01.2005,2
Morgan,Lampitt,02.12.2003,1
Flory,Jallin,27.11.2003,2
Frederigo,Adamek,18.10.2003,2
Cyrus,Giacobelli,31.07.2000,1
Erroll,Beardon,21.09.2000,2
Gwyneth,Beardwell,11.11.2004,1
Zedekiah,Pendred,26.10.2001,1
Denyse,Ivanenkov,30.12.2002,1
Clem,Dabell,06.01.2001,1
Mack,Cassimer,17.11.2000,1
Christoper,Tranckle,24.06.2001,1
Wilbert,Andrivel,24.04.2002,1
Terri,Feuell,25.08.2003,2
Ruperto,Deinhard,17.05.2002,2
Neville,Labeuil,19.03.2001,1
Dianemarie,Cossell,10.01.2001,2
Claudie,Gorring,21.12.2001,1
Pedro,Matyugin,19.11.2002,2
Viv,Le Fleming,11.01.2004,2
Binny,Moss,23.01.2002,1
Keelby,Doag,02.01.2002,1
Kaylyn,Miller,21.09.2002,1
Berty,Shedd,05.11.2001,2
Thane,Ambrozik,18.04.2000,1
Clarine,Batisse,03.01.2003,1
Camille,Sawyer,15.05.2004,1
Crosby,Mendel,05.07.2003,1
Ker,Hoffner,12.09.2000,1
Reta,Pengilley,03.09.2004,1
Vilhelmina,Ashfield,05.10.2001,1
Morganne,Nunan,23.10.2003,2
Astrix,Humberstone,01.06.2003,1
Glenden,Killen,03.01.2002,2
Bobbe,Kiezler,18.03.2004,2
Lira,Stroband,04.08.2000,1
Alejandro,Fuchs,16.04.2002,2
Daphne,Gaylord,28.03.2001,1
Si,Kosiada,10.07.2004,1
Ginger,Buffin,04.11.2002,1
Jennica,Daynter,18.07.2003,2
Dov,Brunton,09.09.2001,1
Sidney,Ritch,16.11.2000,2
Dalli,Tweede,30.06.2002,2
Winifield,Deave,07.08.2004,1
Lazare,Shillam,09.03.2001,2
Cherry,O'Toole,29.09.2004,2
Maye,Grocott,28.12.2004,2
Wenonah,Ochterlony,03.09.2000,1
Leena,Leyborne,12.03.2004,2
Shalom,Davage,17.06.2004,1
Pier,Fandrey,17.02.2002,2
Penelope,Gidden,18.11.2004,2
Matthew,Tettley,25.09.2001,2
Yettie,Olin,20.08.2004,1
Shaun,Wride,10.12.2001,1
Igor,Hefforde,20.04.2000,1
Catlaina,Desorts,10.11.2003,2
Maegan,Riepel,16.06.2003,1
Waylin,Longfut,14.06.2001,2
Kerrin,Mackneis,03.10.2004,2
Florentia,Berkeley,10.07.2000,1
Marius,Jozefiak,27.08.2003,2
Kennith,Brenston,29.09.2003,1
Amabel,Loney,31.07.2002,2
Charissa,Orsman,08.09.2001,2
Rosalynd,Birney,11.12.2001,2
Janis,Jarrelt,05.09.2003,2
Kellsie,Thying,19.04.2004,2
Calvin,Tingley,10.12.2002,1
Addy,Pree,29.04.2001,2
Melli,Lofty,21.11.2004,2
Reginald,Pikesley,19.02.2002,1
Caprice,Yewdell,23.03.2001,1
Fay,Balden,08.09.2000,1
Giavani,Batter,05.07.2002,2
Eadmund,Bravery,05.02.2001,2
Malissia,Lundie,03.05.2004,1
Celka,Ashingden,25.03.2002,2
Konstanze,Verchambre,03.10.2004,1
Katti,Sailor,21.07.2001,2
Carmencita,Halpeine,26.06.2001,1
Darya,Scroyton,29.08.2003,1
